name,skin_tone,R,G,B
Abas Abdirazaq,4,232,176,141
Abby Champion,1,216,177,163
Abeny Nhial,8,116,77,62
Adamu Bulus,7,147,99,90
Adit Priscilla,7,131,76,42
Adut Akech,7,135,106,101
Adwoa Aboah,4,206,168,118
Aivita Muze,1,231,200,182
Ajah Angau Jok,9,71,50,40
Ajok Daing,8,91,66,57
Akbar Shamji,2,211,150,129
Akon Changkou,8,67,36,22
Alaato Jazyper,9,106,84,73
Alex Consani,1,237,212,201
Alix Bouthors,1,227,192,173
Alton Mason,8,156,98,74
Alva Claire,6,195,134,97
Amar Akway,9,106,75,63
Amelia Gray,1,218,187,173
America Gonzalez,4,214,166,134
Angelina Kendall,4,223,172,138
Anna Ewers,1,225,191,177
Annemary Aderibigbe,4,220,176,134
Anok Yai,8,143,93,89
Apolline Rocco Fohrer,1,229,177,160
Awar Odhiang,8,92,55,39
Awwal Adeoti,7,145,94,70
Babacar Ndoye,8,143,101,87
Bella Hadid,1,237,209,188
Bibi Breslin,1,243,211,195
Cameron Dallas,2,223,196,168
Cara Delevingne,2,232,191,168
Celina Ralph,3,216,166,122
Cheikh Dia,8,94,51,24
Cherif Douamba,8,106,60,48
Chloe Oh,1,233,193,175
Clement Chabernaud,1,245,214,194
Colin Jones,1,229,187,174
Connor Newall,1,230,179,170
Cosme Voisin,1,222,184,172
Dana Smith,3,225,189,156
Dara Gueye,8,85,57,45
Devyn Garcia,2,202,154,125
Diane Chiu,3,210,161,129
Douta Sidibe,8,100,57,36
Edie Campbell,2,243,218,203
Edna Karibwami,7,118,60,27
Ella Mccutcheon,2,227,183,160
Elliot Meeten,2,250,202,177
Felice Nova Nordhoff,2,231,189,175
Fernando Lindez,4,201,145,117
Filip Hrivnak,1,240,192,177
Fran Summers,2,235,197,186
Francisco Lachowski,3,237,183,155
Gabbriette,1,242,213,192
Gaye Serigne,7,150,98,75
Gendai Funato,2,231,193,170
Georgia Palmer,6,183,123,78
Gigi Hadid,2,222,173,147
Goy Michael,9,130,103,89
Grace Elizabeth,2,207,164,148
Grace Valentine,5,206,142,108
Greta Hofer,2,231,182,166
Haatepah,6,186,128,93
Habib Masovic,1,221,184,167
Hedi Ben Tekaya,4,224,169,137
Hejia Li,2,207,168,147
Hoyong Kim,3,229,183,147
Ida Heiner,2,226,185,160
Ilias Loopmans,2,235,199,173
Ilya Vermeulen,2,225,185,162
Indiana Vant Slot,1,238,205,191
Iris Law,4,212,162,130
Jeanne Cadieu,1,240,209,188
Jill Kortleve,2,205,159,152
Jordan Barrett,1,232,195,182
Joshua Thompson,1,219,181,165
Kai Isaiah Jamal,5,188,147,109
Kaia Gerber,2,219,177,166
Karolina Spakowski,1,233,203,190
Kendall Jenner,2,241,186,161
Kit Butler,2,207,156,144
Kristen McMenamy,2,241,207,177
Kristine Lindseth,2,233,188,164
Lara Menezes,5,175,124,92
Leon Dame,3,215,171,128
Liam Kelly,2,247,209,180
Lila Moss,1,236,203,192
Lineisy Montero,6,208,144,96
Loli Bahia,1,247,225,213
Luca Biggs,1,237,181,168
Lucky Blue Smith,1,223,193,185
Lulu Tenney,2,238,206,190
Malik Anderson,6,199,143,107
Mamuor Majeng,9,80,60,54
Mary Ukech,8,112,87,75
Mathieu Simoneau,4,215,159,131
Mathilda Gvarliani,2,185,126,98
Matthew Seymour,6,180,120,92
Maty Drazek,2,217,179,164
Maty Fall,8,96,72,62
Meghan Roche,2,242,209,202
Mika Schneider,2,224,179,152
Mila van Eeten,1,226,189,175
Mohamed Hassan,6,141,79,42
Momo Ndiaye,8,83,60,47
Mona Tougaard,6,185,114,73
Naomi Campbell,6,191,107,71
Nonso Ojukwu,8,103,60,46
Nyaduola Gabriel,8,106,73,64
Nyakong Chan,9,82,59,38
Ottawa Kwami,9,77,46,24
Paloma Elsesser,4,213,159,128
Paul Hameline,3,226,181,146
Penelope Ternes,1,247,218,212
Presley Gerber,1,251,195,182
Quannah Chasinghorse,2,217,182,162
Rebecca Leigh Longendyke,2,235,206,195
Rejoice Chuol,9,115,88,84
Rolf,4,207,167,139
Rosalieke Fuchs,2,226,194,182
Rubuen Bilan-Carroll,4,232,173,126
Salomon Diaz,8,125,69,50
Sang Woo Kim,2,251,223,205
Sara Caballero,2,223,181,157
Sascha Rajasalu,2,223,194,183
Sean O'Pry,2,242,205,193
Sihana Shalaj,2,227,190,167
Sofia Steinberg,2,230,187,159
Sora Choi,1,198,166,154
Sun Mizrahi,4,230,172,128
Taemin Park,2,237,211,188
Takfarines Bengana,4,227,181,149
Tanya Churbanova,2,209,162,142
Tess Breeden,1,239,207,195
Thatcher Thornton,2,219,163,135
Tom Rey,2,222,167,141
Trevor Signorino,2,205,170,155
Ugbad Abdi,4,194,143,105
Valentin Caron,2,226,189,160
Valentin Humbroich,1,242,220,206
Vasko Luyckx,1,219,192,176
Victoria Fawole,7,189,128,101
Vivienne Rohner,1,234,197,179
Wali Deutsch,3,235,192,156
Walid Fiher,1,216,182,165
Yilan Hua,1,207,169,153
Ying Ouyang,2,232,200,176
Ylang Messenguiral,3,227,181,148
Yoesry Detre,2,236,208,178
